PERMNO	namedt	nameenddt	SYMBOL	CUSIP	name	comnam
10001	20150630	20150630	EGAS	36720410	GAS NATURAL INC.	GAS NATURAL INC
10025	20150630	20150630	AEPI	00103110	AEP INDUSTRIES INC	A E P INDUSTRIES INC
10026	20150630	20150630	JJSF	46603210	J&J SNACK FOODS CORP	J & J SNACK FOODS CORP
10028	20150630	20150630	DGSE	23323G10	DGSE COMPANIES, INC.	D G S E COMPANIES INC
10032	20150630	20150630	PLXS	72913210	PLEXUS CORP	PLEXUS CORP
10044	20150630	20150630	RMCF	77467X10	ROCKY MOUNTAIN CHOCOLATE FACTORY, INC. COMMON STOCK	ROCKY MOUNTAIN CHOC FAC INC NEW
10051	20150630	20150630	HGR	41043F20	HANGER INC.	HANGER INC
10065	20150630	20150630	ADX	00621210	ADAMS DIVERSIFIED EQUITY FUND, INC	ADAMS EXPRESS CO
10104	20150630	20150630	ORCL	68389X10	ORACLE CORP	ORACLE CORP
10107	20150630	20150630	MSFT	59491810	MICROSOFT CORP	MICROSOFT CORP
10113	20150630	20150630	AADR	00768Y20	WCM / BNY MELLON FOCUSED GROWTH ADR ETF	ADVISORSHARES TRUST
10116	20150630	20150630	ACUR	00509L70	ACURA PHARMACEUTICALS INC	ACURA PHARMACEUTICALS INC
10138	20150630	20150630	TROW	74144T10	T ROWE PRICE GROUP INC	T ROWE PRICE GROUP INC
10145	20150630	20150630	HON	43851610	HONEYWELL INTERNATIONAL, INC.	HONEYWELL INTERNATIONAL INC
10147	20150630	20150630	EMC	26864810	EMC CORPORATION	E M C CORP MA
10151	20150630	20150630	AGLS	00768Y40	ACCUVEST GLOBAL LONG SHORT ETF	ADVISORSHARES TRUST
10158	20150630	20150630	AMRC	02361E10	AMERESCO, INC.	AMERESCO INC
10180	20150630	20150630	AKRX	00972810	AKORN, INC.	AKORN INC
10182	20150630	20150630	TECD	87823710	TECH DATA CORP	TECH DATA CORP
10200	20150630	20150630	RGEN	75991610	REPLIGEN CORP	REPLIGEN CORP
10201	20150630	20150630	AT	04878Q86	ATLANTIC POWER CORPORATION	ATLANTIC POWER CORP
10207	20150630	20150630	FUND	85208J10	SPROTT FOCUS TRUST, INC.	SPROTT FOCUS TRUST INC
10220	20150630	20150630	BWXT	05605H10	BWX TECHNOLOGIES, INC.	B W X TECHNOLOGIES INC
10232	20150630	20150630	ESBK	28966010	ELMIRA SAVINGS BANK ELMIRA NY	ELMIRA SAVINGS BANK NY
10239	20150630	20150630	BWINB	05775520	BALDWIN & LYONS INC	BALDWIN & LYONS INC
10252	20150630	20150630	INDB	45383610	INDEPENDENT BANK CORP/MA	INDEPENDENT BANK CORP MA
10253	20150630	20150630	DSS	25614T10	DOCUMENT SECURITY SYSTEMS, INC.	DOCUMENT SECURITY SYSTEMS INC
10257	20150630	20150630	DLHC	23335Q10	DLH HOLDINGS CORP.	D L H HOLDINGS CORP
10258	20150630	20150630	CLDX	15117B10	CELLDEX THERAPEUTICS, INC	CELLDEX THERAPEUTICS INC
10259	20150630	20150630	SIGM	82656510	SIGMA DESIGNS INC	SIGMA DESIGNS INC
10294	20150630	20150630	HVT/A	41959620	HAVERTY FURNITURE COMPANIES CLA	HAVERTY FURNITURE COS INC
10297	20150630	20150630	LSBG	51086610	LAKE SUNAPEE BANK GROUP	LAKE SUNAPEE BANK GROUP
10299	20150630	20150630	LLTC	53567810	LINEAR TECHNOLOGY CORP	LINEAR TECHNOLOGY CORP
10302	20150630	20150630	CY	23280610	CYPRESS SEMICONDUCTOR	CYPRESS SEMICONDUCTOR CORP
10308	20150630	20150630	TMP	89011010	TOMPKINS FINANCIAL CORPORATION	TOMPKINS FINANCIAL CORP
10318	20150630	20150630	BCPC	05766520	BALCHEM CORPORATION	BALCHEM CORP
10333	20150630	20150630	XOMA	98419J10	XOMA CORPORATION	XOMA CORP
10355	20150630	20150630	DJCO	23391210	DAILY JOURNAL CORP	DAILY JOURNAL CORP
10363	20150630	20150630	AMAG	00163U10	AMAG PHARMACEUTICALS, INC.	A M A G PHARMACEUTICALS INC
10375	20150630	20150630	TCB	87227510	TCF FINANCIAL CORP.	T C F FINANCIAL CORP
10382	20150630	20150630	ASTE	04622410	ASTEC INDUSTRIES INC	ASTEC INDUSTRIES INC
10395	20150630	20150630	NAVG	63890410	NAVIGATORS GROUP INC	NAVIGATORS GROUP INC
10397	20150630	20150630	WERN	95075510	WERNER ENTERPRISES INC	WERNER ENTERPRISES INC
10421	20150630	20150630	SKYW	83087910	SKYWEST INC	SKYWEST INC
10443	20150630	20150630	FRPH	30292L10	FRP HOLDINGS, INC.	F R P HOLDINGS INC
10463	20150630	20150630	REFR	76091110	RESEARCH FRONTIERS INC	RESEARCH FRONTIERS INC
10501	20150630	20150630	AMWD	03050610	AMERICAN WOODMARK CORP	AMERICAN WOODMARK CORP
10514	20150630	20150630	TWMC	89336Q10	TRANS WORLD ENTERTAINMENT	TRANS WORLD ENTERTAINMENT CORP
10516	20150630	20150630	ADM	03948310	ARCHER DANIELS MIDLAND COMPANY	ARCHER DANIELS MIDLAND CO
10517	20150630	20150630	AAN	00253530	AARON'S, INC.	AARONS INC
10530	20150630	20150630	VIVO	58958410	MERIDIAN BIOSCIENCE INC	MERIDIAN BIOSCIENCE INC
10547	20150630	20150630	CLFD	18482P10	CLEARFIELD, INC.	CLEARFIELD INC
10550	20150630	20150630	PDEX	74265M20	PRO-DEX INC NEW	PRO DEX INC COLO
10606	20150630	20150630	WTS	94274910	WATTS WATER TECHNOLOGIES, INC. CLASS A	WATTS WATER TECHNOLOGIES INC
10629	20150630	20150630	FNB	30252010	F.N.B. CORP	F N B CORP PA
10645	20150630	20150630	LAKE	51179510	LAKELAND INDUSTRIES INC	LAKELAND INDUSTRIES INC
10649	20150630	20150630	PTSI	69314910	PAM TRANSPORTATION SERVICES	P A M TRANSPORTATION SVCS INC
10656	20150630	20150630	ACET	00444610	ACETO CORP	ACETO CORP
10659	20150630	20150630	BRLI	09057G60	BIO-REFERENCE LABS INC	BIO REFERENCE LABORATORIES INC
10661	20150630	20150630	CYAN	23243730	CYANOTECH CORP	CYANOTECH CORP
10667	20150630	20150630	FSYS	35952W10	FUEL SYSTEMS SOLUTIONS, INC.	FUEL SYSTEMS SOLUTIONS INC
10693	20150630	20150630	HLS	42192430	HEALTHSOUTH CORPORATION	HEALTHSOUTH CORP
10696	20150630	20150630	FISV	33773810	FISERV INC	FISERV INC
10777	20150630	20150630	FCNCA	31946M10	FIRST CITIZENS BANCSHARES INC	FIRST CITIZENS BANCSHARES INC NC
