PERMNO	namedt	nameenddt	SYMBOL	CUSIP	name	comnam
10001	20100104	20100630	EGAS	29269V10	ENERGY, INC.	ENERGY INC
10001	20100901	20161021	EGAS	36720410	GAS NATURAL INC.	GAS NATURAL INC
10001	20161024	20170721	EGAS	36720410	Gas Natural Inc	GAS NATURAL INC
10001	20170724	20170804	EGAS	36720410	Gas Natural Inc.	GAS NATURAL INC
10001	20090225	20090610	EWST	29274A20	ENERGY WEST INC	ENERGY WEST INC
10002	20090225	20130215	BTFG	05978R10	BANCTRUST FINANCIAL GROUP INC	BANCTRUST FINANCIAL GROUP INC
10012	20090225	20090610	DPAC	23326910	DPAC TECHNOLOGIES CORP	D P A C TECHNOLOGIES CORP
10025	20090225	20161021	AEPI	00103110	AEP INDUSTRIES INC	A E P INDUSTRIES INC
10025	20161024	20170120	AEPI	00103110	AEP Industries Inc	A E P INDUSTRIES INC
10026	20090225	20161021	JJSF	46603210	J&J SNACK FOODS CORP	J & J SNACK FOODS CORP
10026	20161024	20191115	JJSF	46603210	J&J Snack Foods Corp	J & J SNACK FOODS CORP
10028	20090225	20090610	DGC	23323G10	DGSE COS INC	D G S E COMPANIES INC
10028	20150217	20161021	DGSE	23323G10	DGSE COMPANIES, INC.	D G S E COMPANIES INC
10028	20100104	20150213	DGSE	23323G10	DGSE COS INC	D G S E COMPANIES INC
10028	20161024	20170721	DGSE	23323G10	DGSE Companies Inc.	D G S E COMPANIES INC
10028	20170724	20191115	DGSE	23323G10	DGSE Companies, Inc.	D G S E COMPANIES INC
10031	20090323	20090610	ANTQ	00035410	A A IMPORTING INC	A A IMPORTING INC
10032	20090225	20161021	PLXS	72913210	PLEXUS CORP	PLEXUS CORP
10032	20161024	20191115	PLXS	72913210	Plexus Corp	PLEXUS CORP
10044	20090225	20150226	RMCF	77467840	ROCKY MOUNTAIN CHOC FACT INC	ROCKY MOUNTAIN CHOCOLATE FAC INC
10044	20150227	20161021	RMCF	77467X10	ROCKY MOUNTAIN CHOCOLATE FACTORY, INC. COMMON STOCK	ROCKY MOUNTAIN CHOC FAC INC NEW
10044	20161024	20191115	RMCF	77467X10	Rocky Mountain Chocolate Factory, Inc. Common Stock	ROCKY MOUNTAIN CHOC FAC INC NEW
10051	20120705	20120705	HGR	41043F20	HANGER INC	HANGER INC
10051	20120608	20160225	HGR	41043F20	HANGER INC.	HANGER INC
10051	20090225	20120607	HGR	41043F20	HANGER ORTHOPEDIC GROUP	HANGER INC
10051	20190814	20191115	HNGR	41043F20	Hanger Inc.	HANGER INC
10051	20180912	20190813	HNGR	41043F20	Hanger, Inc.	HANGER INC
10065	20150330	20161021	ADX	00621210	ADAMS DIVERSIFIED EQUITY FUND, INC	ADAMS EXPRESS CO
10065	20090225	20150327	ADX	00621210	ADAMS EXPRESS COMPANY	ADAMS EXPRESS CO
10065	20161024	20190809	ADX	00621210	Adams Diversified Equity Fund	ADAMS EXPRESS CO
10065	20190812	20191115	ADX	00621210	Adams Diversified Equity Fund, Inc	ADAMS EXPRESS CO
10078	20090225	20100115	JAVA	86681020	SUN MICROSYSTEMS, INC	SUN MICROSYSTEMS INC
10089	20090323	20090610	AHAG	02078110	ALPHA TECHNOLOGIES GROUP INC	ALPHA TECHNOLOGIES GROUP INC
10092	20090225	20100527	KDE	35086510	4 KIDS ENTERTAINMENT INC.	4 KIDS ENTERTAINMENT INC
10100	20100330	20130321	ALRN	02713510	AMERICAN LEARNING CORP	AMERICAN LEARNING CORP NY
10100	20090225	20100115	AMCE	02514410	AMERICAN CLAIMS EVALUATION	AMERICAN CLAIMS EVALUATION INC
10104	20090225	20161021	ORCL	68389X10	ORACLE CORP	ORACLE CORP
10104	20190814	20191115	ORCL	68389X10	Oracle Corp	ORACLE CORP
10104	20161024	20190813	ORCL	68389X10	Oracle Corporation	ORACLE CORP
10107	20090225	20161021	MSFT	59491810	MICROSOFT CORP	MICROSOFT CORP
10107	20161024	20191115	MSFT	59491810	Microsoft Corp	MICROSOFT CORP
10113	20160831	20161021	AADR	00768Y20	ADVISORSHARES DORSEY WRIGHT ADR ETF	ADVISORSHARES TRUST
10113	20161024	20191115	AADR	00768Y20	AdvisorShares Dorsey Wright ADR ETF	ADVISORSHARES TRUST
10113	20100901	20160830	AADR	00768Y20	WCM / BNY MELLON FOCUSED GROWTH ADR ETF	ADVISORSHARES TRUST
10116	20090225	20150826	ACUR	00509L70	ACURA PHARMACEUTICALS INC	ACURA PHARMACEUTICALS INC
10116	20150827	20161021	ACUR	00509L80	ACURA PHARMACEUTICALS INC	ACURA PHARMACEUTICALS INC
10116	20161024	20170222	ACUR	00509L80	Acura Pharmaceuticals Inc	ACURA PHARMACEUTICALS INC
10137	20090225	20110224	AYE	01736110	ALLEGHENY ENERGY, INC.	ALLEGHENY ENERGY INC
10138	20090225	20161021	TROW	74144T10	T ROWE PRICE GROUP INC	T ROWE PRICE GROUP INC
10138	20161024	20191115	TROW	74144T10	T Rowe Price Group Inc	T ROWE PRICE GROUP INC
10139	20090313	20090320	ADFK	00718010	ADMIRAL FINL CORP	ADMIRAL FINANCIAL CORP
10143	20090225	20100607	OSIP	67104010	OSI PHARMACEUTICALS INC	O S I PHARMACEUTICALS INC
10145	20090225	20150211	HON	43851610	HONEYWELL INTERNATIONAL	HONEYWELL INTERNATIONAL INC
10145	20120705	20120705	HON	43851610	HONEYWELL INTERNATIONAL INC	HONEYWELL INTERNATIONAL INC
10145	20150212	20161021	HON	43851610	HONEYWELL INTERNATIONAL, INC.	HONEYWELL INTERNATIONAL INC
10145	20190607	20190814	HON	43851610	Honeywell	HONEYWELL INTERNATIONAL INC
10145	20161024	20190606	HON	43851610	Honeywell International Inc	HONEYWELL INTERNATIONAL INC
10145	20190815	20191115	HON	43851610	Honeywell International, Inc.	HONEYWELL INTERNATIONAL INC
10147	20090225	20160906	EMC	26864810	EMC CORPORATION	E M C CORP MA
10151	20111130	20150806	AGLS	00768Y40	ACCUVEST GLOBAL LONG SHORT ETF	ADVISORSHARES TRUST
10151	20100901	20111129	GRV	00768Y40	MARS HILL GLOBAL RELATIVE VALUE ETF	ADVISORSHARES TRUST
10158	20110601	20120710	AMRC	02361E10	AMERESCO INC	AMERESCO INC
10158	20100901	20161021	AMRC	02361E10	AMERESCO, INC.	AMERESCO INC
10158	20161024	20190813	AMRC	02361E10	Ameresco Inc	AMERESCO INC
10158	20190814	20191115	AMRC	02361E10	Ameresco, Inc.	AMERESCO INC
10163	20090225	20120514	XRIT	98385710	X-RITE INC	X RITE INC
